timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
385018862,0,0.0,0.0,0.0190014,-0.04792103,-0.097826615,-0.015287479,-0.030196557,-0.03701567,0.003583204,0.0009338032,0.0010532163,3.14101e-05,0.00018411994,0.00014798452,-0.021482537,0.013863649,0.01433426,0.00081553875,1.5187128,0.5865147,0.0,0.1,0.034672834,0.016824115,0.059341654,0.033182167,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385028853,0,0.0,0.0,0.019000968,-0.04791741,-0.09782909,-0.015287479,-0.030196557,-0.03701567,0.0035607796,0.00080631,0.0010402445,1.9487485e-05,0.00018411994,0.00014798452,-0.021482537,-0.0007214768,-0.0056018494,0.0070761833,1.5187097,0.5865147,0.0,0.1,0.034093913,0.016824115,0.058744654,0.03318215,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385038847,0,0.0,0.0,0.0189999,-0.047913566,-0.09783059,-0.015287479,-0.030196557,-0.03701567,0.0037419097,0.0009679016,0.0011585342,0.00013887446,0.00018411994,0.00014798452,-0.021482537,0.017593222,0.0013186188,0.0056553595,1.518707,0.5865147,0.0,0.1,0.033556774,0.016824113,0.058205977,0.033182137,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385058831,0,0.0,0.0,0.018997625,-0.04790791,-0.097833075,-0.015287479,-0.030196557,-0.03701567,0.0035101732,0.0008640947,0.0012041484,0.0001868021,0.00018411994,0.00014798452,-0.021482537,0.00085756904,0.021537494,0.009271386,1.5187184,0.5865147,0.0,0.1,0.033468492,0.01682411,0.058128994,0.033182107,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385078816,0,0.0,0.0,0.01898801,-0.047903173,-0.09783092,-0.015287479,-0.030196557,-0.03701567,0.0037010282,0.00094588456,0.0011235037,0.000108582164,0.00018411994,0.00014798452,-0.021482537,0.07016641,0.025135757,-0.033759665,1.5184734,0.5865147,0.0,0.1,0.033385225,0.016824106,0.058067594,0.033182077,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385098802,0,0.0,0.0,0.018981721,-0.047888283,-0.097835116,-0.015287479,-0.030196557,-0.03701567,0.004584129,0.00097176235,0.0011861286,0.0001737822,0.00018411994,0.00014798452,-0.021482537,0.184877,-0.04728925,-0.0306887,1.5188706,0.5865147,0.0,0.1,0.034270786,0.016824102,0.058978077,0.03318205,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385118786,0,0.0,0.0,0.018974101,-0.047885846,-0.09783394,-0.015287479,-0.030196557,-0.03701567,0.003965073,0.0005480542,0.0020082132,0.0009985812,0.00018411994,0.00014798452,-0.021482537,0.1370141,-0.06535577,0.0866169,1.5188429,0.5865147,0.0,0.1,0.03416491,0.0168241,0.0588952,0.033182025,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385138772,0,0.0,0.0,0.018965885,-0.04787697,-0.097819574,-0.015287479,-0.030196557,-0.03701567,0.0031486214,0.0022370364,0.0023628592,0.0013560841,0.00018411994,0.00014798452,-0.021482537,0.06684909,0.15962365,0.04369338,1.5188258,0.5865147,0.0,0.1,0.03406516,0.016824098,0.058829278,0.03318199,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385158757,0,0.0,0.0,0.018953644,-0.04785305,-0.09781295,-0.015287479,-0.030196557,-0.03701567,0.0035645163,0.001914358,0.002218747,0.0012149998,0.00018411994,0.00014798452,-0.021482537,0.009411528,0.009068072,0.18039538,1.5185575,0.5865147,0.0,0.1,0.033971306,0.016824093,0.05878013,0.03318196,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385178741,0,0.0,0.0,0.018947335,-0.047837485,-0.09779475,-0.015287479,-0.030196557,-0.03701567,0.0021445437,0.0007621484,0.0018049813,0.00080438773,0.00018411994,0.00014798452,-0.021482537,-0.37236342,-0.035724323,-0.054721124,1.518764,0.5865147,0.0,0.1,0.033883117,0.016824089,0.058745828,0.033181928,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385198725,0,0.0,0.0,0.018931843,-0.047818862,-0.0977692,-0.015287479,-0.030196557,-0.03701567,0.0037867904,0.002442493,0.0022941516,0.0012965469,0.00018411994,0.00014798452,-0.021482537,-0.036131367,0.00092428044,0.014402057,1.5186629,0.5865147,0.0,0.1,0.033800382,0.016824085,0.05872582,0.0331819,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385218710,0,0.0,0.0,0.018920986,-0.047789764,-0.09775664,-0.015287479,-0.030196557,-0.03701567,0.0032155293,0.0018996857,0.0015165776,0.00052189163,0.00018411994,0.00014798452,-0.021482537,0.08415005,-0.038152657,-0.010359219,1.518636,0.5865147,0.0,0.1,0.033722904,0.016824082,0.05871903,0.03318187,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385238695,0,0.0,0.0,0.018910198,-0.047774926,-0.0977431,-0.015287479,-0.030196557,-0.03701567,0.0032023762,0.0007218761,0.0010431202,5.1336483e-05,0.00018411994,0.00014798452,-0.021482537,-0.034207128,-0.12325513,-0.24778584,1.5187337,0.5865147,0.0,0.1,0.033650495,0.016824078,0.058723282,0.03318184,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385258681,0,0.0,0.0,0.01889258,-0.047759995,-0.09773353,-0.015287479,-0.030196557,-0.03701567,0.0033172176,0.0022268516,0.0021513836,0.001162469,0.00018411994,0.00014798452,-0.021482537,0.25036845,0.09481346,0.25329432,1.5186442,0.5865147,0.0,0.1,0.033582967,0.016824072,0.05874279,0.033181813,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385278665,0,0.0,0.0,0.018887535,-0.047727615,-0.097715236,-0.015287479,-0.030196557,-0.03701567,0.0039484715,0.0020345785,0.0026027518,0.0016167471,0.00018411994,0.00014798452,-0.021482537,0.047848314,-0.07403877,0.029732907,1.5187281,0.5865147,0.0,0.1,0.033520177,0.016824067,0.058768682,0.033181775,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385298649,0,0.0,0.0,0.018877652,-0.047716483,-0.09770236,-0.015287479,-0.030196557,-0.03701567,0.0032322544,0.0016501616,0.0021697814,0.0011866844,0.00018411994,0.00014798452,-0.021482537,0.039460525,-0.03295961,0.16877781,1.5186312,0.5865147,0.0,0.1,0.03346192,0.016824061,0.058804587,0.03318175,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385318634,0,0.0,0.0,0.018873136,-0.047692254,-0.09768221,-0.015287479,-0.030196557,-0.03701567,0.00404629,0.0021223228,0.0020770915,0.001096701,0.00018411994,0.00014798452,-0.021482537,0.0099495,-0.024810014,0.059448674,1.5187452,0.5865147,0.0,0.1,0.033408057,0.016824057,0.058852874,0.033181723,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385338619,0,0.0,0.0,0.018861964,-0.047677513,-0.097670674,-0.015287479,-0.030196557,-0.03701567,0.0037823732,0.002070899,0.002353757,0.0013758043,0.00018411994,0.00014798452,-0.021482537,0.13392203,0.08287175,0.15331346,1.5185992,0.5865147,0.0,0.1,0.033358455,0.016824054,0.05890527,0.03318169,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385358613,0,0.0,0.0,0.018857565,-0.04766265,-0.09764972,-0.015287479,-0.030196557,-0.03701567,0.00341063,0.0018178158,0.0025038128,0.0015280652,0.00018411994,0.00014798452,-0.021482537,-0.025782095,0.0710302,0.080366544,1.5187778,0.5865147,0.0,0.1,0.033312954,0.016824046,0.058966804,0.033181664,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385378591,0,0.0,0.0,0.018856736,-0.047648847,-0.09762358,-0.015287479,-0.030196557,-0.03701567,0.0039574327,0.0014734166,0.0025217708,0.0015478336,0.00018411994,0.00014798452,-0.021482537,0.008505017,-0.0721551,0.09482371,1.5187081,0.5865147,0.0,0.1,0.0332714,0.01682404,0.05903741,0.033181634,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385398575,0,0.0,0.0,0.018858377,-0.047643658,-0.09760603,-0.015287479,-0.030196557,-0.03701567,0.004095793,0.0008030928,0.0019954343,0.0010228696,0.00018411994,0.00014798452,-0.021482537,-0.018609751,0.043200627,0.020140529,1.5186714,0.5865147,0.0,0.1,0.033233684,0.016824035,0.059111305,0.033181604,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385418562,0,0.0,0.0,0.018863179,-0.047635958,-0.097585216,-0.015287479,-0.030196557,-0.03701567,0.0033460353,0.0018161539,0.0023017738,0.0013302722,0.00018411994,0.00014798452,-0.021482537,-0.21409677,0.043243065,0.0019211231,1.5187058,0.5865147,0.0,0.1,0.033199646,0.01682403,0.059190113,0.033181574,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385438548,0,0.0,0.0,0.01887512,-0.047624454,-0.09756624,-0.015287479,-0.030196557,-0.03701567,0.004262852,0.0014463612,0.0019084889,0.0009376781,0.00018411994,0.00014798452,-0.021482537,-0.02525456,-0.08800779,0.045324672,1.518643,0.5865147,0.0,0.1,0.033169124,0.016824024,0.059278805,0.033181556,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385458532,0,0.0,0.0,0.018881934,-0.047612756,-0.097551435,-0.015287479,-0.030196557,-0.03701567,0.0045077717,0.0007500745,0.0023795993,0.0014090248,0.00018411994,0.00014798452,-0.021482537,0.17200018,-0.29563138,0.04032456,1.5186661,0.5865147,0.0,0.1,0.03314202,0.016824016,0.05936516,0.033181515,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385478514,0,0.0,0.0,0.018896988,-0.047612764,-0.09752613,-0.015287479,-0.030196557,-0.03701567,0.0039743027,0.0007795703,0.0018158028,0.0008449081,0.00018411994,0.00014798452,-0.021482537,0.06622797,-0.30569756,-0.12701572,1.5186964,0.5865147,0.0,0.1,0.03311817,0.01682401,0.059455607,0.03318149,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385498499,0,0.0,0.0,0.018905204,-0.04761604,-0.09749513,-0.015287479,-0.030196557,-0.03701567,0.0025879634,0.0017949869,0.0046270117,0.0036552113,0.00018411994,0.00014798452,-0.021482537,-0.30273885,0.218027,0.25785023,1.5186967,0.5865147,0.0,0.1,0.03309744,0.016824005,0.05955173,0.03318146,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385518484,0,0.0,0.0,0.018882427,-0.04760692,-0.09746986,-0.015287479,-0.030196557,-0.03701567,0.0066456995,0.0019672886,0.001092128,0.00011884683,0.00018411994,0.00014798452,-0.021482537,1.1015823,0.23112006,0.032321643,1.5185466,0.5865147,0.0,0.1,0.033079702,0.016824001,0.059647445,0.033181433,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385538469,0,0.0,0.0,0.018914329,-0.047597468,-0.097476654,-0.015287479,-0.030196557,-0.03701567,0.004839618,0.000436588,0.0007540188,-0.00022131107,0.00018411994,0.00014798452,-0.021482537,-0.46712005,-0.61350286,-0.064551875,1.5184869,0.5865147,0.0,0.1,0.033064816,0.016823994,0.05974437,0.033181403,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385558456,0,0.0,0.0,0.018934844,-0.04760322,-0.09745799,-0.015287479,-0.030196557,-0.03701567,0.0019810619,0.0010455812,0.0034396972,0.002461636,0.00018411994,0.00014798452,-0.021482537,-0.5572661,0.34573805,0.1125642,1.5187095,0.5865147,0.0,0.1,0.033052642,0.016823987,0.059846483,0.033181377,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385578439,0,0.0,0.0,0.018964984,-0.047601324,-0.09743398,-0.015287479,-0.030196557,-0.03701567,0.008828238,-0.00035128908,0.0020873558,0.0011058458,0.00018411994,0.00014798452,-0.021482537,1.992016,-0.5118495,0.00503641,1.5186545,0.5865147,0.0,0.1,0.033043083,0.016823981,0.059945177,0.033181347,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385598423,0,0.0,0.0,0.018986726,-0.04761252,-0.09741689,-0.015287479,-0.030196557,-0.03701567,0.005107162,0.0046890844,0.002768147,0.0017824695,0.00018411994,0.00014798452,-0.021482537,-0.15686028,1.7340375,-0.23806134,1.5187021,0.5865147,0.0,0.1,0.03303596,0.016823977,0.06004639,0.033181325,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385618410,0,0.0,0.0,0.019007172,-0.04760406,-0.097406305,-0.015287479,-0.030196557,-0.03701567,0.010467916,0.0015295345,0.0037017844,0.0027112463,0.00018411994,0.00014798452,-0.021482537,2.5610352,-0.486827,0.19641677,1.5188653,0.5865147,0.0,0.1,0.033031173,0.01682397,0.060147353,0.033181302,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385638395,0,0.0,0.0,0.019043101,-0.047601372,-0.097388566,-0.015287479,-0.030196557,-0.03701567,0.0059260824,0.0070123533,0.003561945,0.0025658216,0.00018411994,0.00014798452,-0.021482537,-0.66872704,2.2060745,-0.15400165,1.518833,0.5865147,0.0,0.1,0.033028573,0.016823964,0.060244966,0.033181276,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385658380,0,0.0,0.0,0.019055137,-0.0475999,-0.09736021,-0.015287479,-0.030196557,-0.03701567,0.009247899,0.000672757,0.004279214,0.0032767637,0.00018411994,0.00014798452,-0.021482537,2.3323555,-0.75396824,0.110998996,1.5186877,0.5865147,0.0,0.1,0.033028025,0.016823957,0.0603442,0.03318125,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385678364,0,0.0,0.0,0.019100001,-0.047608282,-0.09732462,-0.015287479,-0.030196557,-0.03701567,0.010677139,0.0055677723,0.0037831157,0.0027735226,0.00018411994,0.00014798452,-0.021482537,-0.25151008,1.9197911,-0.3846003,1.5188456,0.5865147,0.0,0.1,0.033029374,0.016823951,0.0604434,0.03318123,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385698349,0,0.0,0.0,0.019076332,-0.04758287,-0.09731882,-0.015287479,-0.030196557,-0.03701567,0.003942532,0.0033369865,0.002484782,0.001467204,0.00018411994,0.00014798452,-0.021482537,0.88975585,-0.6430707,-0.097151525,1.5187107,0.5865147,0.0,0.1,0.03303259,0.016823946,0.060544472,0.033181198,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385718333,0,0.0,0.0,0.019114789,-0.047585547,-0.09731059,-0.015287479,-0.030196557,-0.03701567,0.016772052,0.0029568244,0.002868251,0.0018420651,0.00018411994,0.00014798452,-0.021482537,1.7755972,1.0259544,-0.042166255,1.5185142,0.5865147,0.0,0.1,0.03301302,0.01682394,0.060590785,0.033181187,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385738318,0,0.0,0.0,0.0191495,-0.047575008,-0.09730842,-0.015287479,-0.030196557,-0.03701567,0.00030717222,0.005458871,0.0015849707,0.00054965407,0.00018411994,0.00014798452,-0.021482537,-1.8774841,0.25795218,-0.22176227,1.5189197,0.5865147,0.0,0.1,0.032995764,0.016823933,0.060639925,0.03318115,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385758306,0,0.0,0.0,0.01918316,-0.04758711,-0.097298115,-0.015287479,-0.030196557,-0.03701567,0.017789058,0.001342755,0.0034592913,0.0024143541,0.00018411994,0.00014798452,-0.021482537,3.3843365,-0.042548653,0.15242146,1.5183607,0.5865147,0.0,0.1,0.032980766,0.016823927,0.06069435,0.033181157,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385778288,0,0.0,0.0,0.019199252,-0.047587138,-0.09730104,-0.015287479,-0.030196557,-0.03701567,-0.0023098728,0.006904021,-0.00032281876,-0.0013777189,0.00018411994,0.00014798452,-0.021482537,-3.536023,1.2611825,-0.79161924,1.5188982,0.5865147,0.0,0.1,0.032967906,0.016823921,0.060743663,0.033181097,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385798273,0,0.0,0.0,0.019231245,-0.04759131,-0.097299635,-0.015287479,-0.030196557,-0.03701567,0.017068215,0.00045041292,0.0032097208,0.002144542,0.00018411994,0.00014798452,-0.021482537,3.4250941,-1.0858724,0.12473274,1.5185877,0.5865147,0.0,0.1,0.032957014,0.016823916,0.060795605,0.033181127,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385818258,0,0.0,0.0,0.019290512,-0.047591444,-0.09728405,-0.015287479,-0.030196557,-0.03701567,0.004529988,0.0059131775,0.0012949209,0.00021916373,0.00018411994,0.00014798452,-0.021482537,-2.6049798,1.1912549,-0.8172708,1.5184559,0.5865147,0.0,0.1,0.03294801,0.01682391,0.060841795,0.033181045,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
385838243,0,0.0,0.0,0.019294424,-0.047591355,-0.09728697,-0.015287479,-0.030196557,-0.03701567,0.0053512193,0.00093064224,0.0009029963,-0.00018366457,0.00018411994,0.00014798452,-0.021482537,0.55002993,-1.1518325,-0.263378,1.5190462,0.5865147,0.0,0.1,0.033872403,0.016823905,0.061868615,0.033181127,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
