timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
860101706,860101191,0,nan,nan,1.5208565,1.4528546,-0.34691483,1.0054654,2.6427975,0.24295658,-0.00037967376,0.004561427,0.00028179007,0.00025122653,-2.4855537,-0.16062875,-0.00048217044,0.17398699,0.61226016,0.005487327,1.527666,0.16137503,nan,0.1,0.0066905855,0.004730843,0.011158858,0.0079002315,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860119712,860119193,0,nan,nan,1.5208875,1.4529319,-0.3469261,1.0054654,2.6427975,0.24295658,-0.0040665846,0.005872651,0.0009628929,0.00092678686,-2.4855537,-0.16062875,-0.00048217044,-0.9192969,0.32475513,0.24854618,1.5284975,0.16137503,nan,0.1,0.0066866027,0.004728292,0.012912435,0.009147143,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860146788,860146195,0,nan,nan,1.5209011,1.453087,-0.34692827,1.0054654,2.6427975,0.24295658,-0.0017630673,0.007036296,0.001204651,0.0011611318,-2.4855537,-0.16062875,-0.00048217044,-0.02329473,-0.27174678,0.122345515,1.529377,0.16137503,nan,0.1,0.0066953297,0.004735045,0.0152106825,0.0107836565,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860169231,860164197,0,nan,nan,1.520961,1.4532325,-0.34693345,1.0054654,2.6427975,0.24295658,0.0029699765,0.011272109,0.00013736796,8.944213e-05,-2.4855537,-0.16062875,-0.00048217044,0.17115888,0.2083692,0.068170026,1.5277592,0.16137503,nan,0.1,0.006721397,0.0047540157,0.016593322,0.011769549,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860178205,860173197,0,nan,nan,1.5209932,1.4533211,-0.3469318,1.0054654,2.6427975,0.24295658,0.0016427047,0.010530224,0.0012593601,0.0012093926,-2.4855537,-0.16062875,-0.00048217044,0.17039697,-0.32033655,0.028270613,1.5271413,0.16137503,nan,0.1,0.006735202,0.004764095,0.017250473,0.012238554,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860205126,860200200,0,nan,nan,1.5210522,1.4536233,-0.34693578,1.0054654,2.6427975,0.24295658,-0.0020324495,0.013190653,0.0011163978,0.0010608688,-2.4855537,-0.16062875,-0.00048217044,0.19917558,-0.47815827,-0.037898764,1.5283064,0.16137503,nan,0.1,0.0068056067,0.0048150416,0.019131895,0.013571999,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860227725,860227249,0,nan,nan,1.5210553,1.4539812,-0.34694213,1.0054654,2.6427975,0.24295658,-0.0003225409,0.015034131,0.0016462209,0.0015860109,-2.4855537,-0.16062875,-0.00048217044,0.2601461,-0.28638008,0.095322914,1.5287919,0.16137503,nan,0.1,0.0069043585,0.004886367,0.020869574,0.014813403,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860245542,860245206,0,nan,nan,1.5211225,1.4542633,-0.3469464,1.0054654,2.6427975,0.24295658,0.0019883956,0.020198682,0.00026229594,0.00019942939,-2.4855537,-0.16062875,-0.00048217044,0.23041816,0.19863328,0.11741485,1.5284861,0.16137503,nan,0.1,0.0070014484,0.004956255,0.021973234,0.015602378,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860263685,860263205,0,nan,nan,1.5212203,1.4545653,-0.3469447,1.0054654,2.6427975,0.24295658,0.0025158003,0.02042499,0.00057382544,0.0005086527,-2.4855537,-0.16062875,-0.00048217044,-0.36726984,0.8602034,0.045787435,1.5278671,0.16137503,nan,0.1,0.0071097175,0.0050342167,0.023037113,0.01636228,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
860281773,860281207,0,nan,nan,1.5212412,1.454953,-0.34695306,1.0054654,2.6427975,0.24295658,0.00079280074,0.020762667,0.00057148683,0.00050433265,-2.4855537,-0.16062875,-0.00048217044,0.02764206,-0.45364526,-0.1013013,1.5282491,0.16137503,nan,0.1,0.0072386805,0.0051270016,0.024066146,0.0170982,inf,inf,inf,inf,1,1,1,1,8,5,5,2,7,1,0,0,1,0
